Title and Author,Links
THE FLAMETHROWERS by Rachel Kushner,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=FICTION-,THE%20FLAMETHROWERS,-by%20Rachel%20Kushner"
THE GOLDFINCH by Donna Tartt,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=FICTION-,THE%20GOLDFINCH,-by%20Donna%20Tartt"
LIFE AFTER LIFE by Kate Atkinson,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=EXPERIMENTAL%20FICTION-,LIFE%20AFTER%20LIFE,-by%20Kate%20Atkinson"
TENTH OF DECEMBER by George Saunders,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=SHORT%20STORIES-,TENTH%20OF%20DECEMBER,-by%20George%20Saunders"
AFTER THE MUSIC STOPPED by Alan S. Blinder,https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=AFTER%20THE%20MUSIC%20STOPPED
DAYS OF FIRE by Peter Baker,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=HISTORY-,DAYS%20OF%20FIRE,-by%20Peter%20Baker"
FIVE DAYS AT MEMORIAL by Sheri Fink,https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=FIVE%20DAYS%20AT%20MEMORIAL
THE SLEEPWALKERS by Christopher Clark,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=HISTORY-,THE%20SLEEPWALKERS,-by%20Christopher%20Clark"
WAVE by Sonali Deraniyagala,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#americanah-chimamanda-ngozi-adichie:~:text=MEMOIR-,WAVE,-by%20Sonali%20Deraniyagala"
BRING UP THE BODIES by Hilary Mantel,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=HISTORICAL%20FICTION-,BRING%20UP%20THE%20BODIES,-by%20Hilary%20Mantel"
BUILDING STORIES by Chris Ware,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=GRAPHIC%20NOVEL-,BUILDING%20STORIES,-by%20Chris%20Ware"
A HOLOGRAM FOR THE KING by Dave Eggers,https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=A%20HOLOGRAM%20FOR%20THE%20KING
NW by Zadie Smith,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=FICTION-,NW,-by%20Zadie%20Smith"
THE YELLOW BIRDS by Kevin Powers,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=FICTION-,THE%20YELLOW%20BIRDS,-by%20Kevin%20Powers"
BEHIND THE BEAUTIFUL FOREVERS by Katherine Boo,https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=BEHIND%20THE%20BEAUTIFUL%20FOREVERS
